record_type,form_id_number,eain_id,election_authority_id_number,state_issued
E,9555171,1365,01945,FL
E,9555173,2,00136142-50,MI
E,9555181,3,34541,FL
E,9555183,4,34539,FL
E,9555184,5,34540,FL
E,9555185,6,34733,FL
E,9555203,7,000617-1,MI
E,9555208,8,A01199,NY
E,9555225,11,VA-03-040,VA
E,9555233,12,S7437,IL
E,9555234,13,S7410,IL
E,9555236,16,991225,CA
E,9555241,18,149,OH
E,9555246,20,508812-5,MI
E,9555248,21,7900442,PA
E,9555259,23,1254911,CA
E,9555264,26,741623,CA
E,9555265,27,742986,CA
E,9555271,28,2203407,NC
E,9555272,29,C031055,MO
E,9555273,30,C031118,MO
E,9555285,31,830078,CA
E,9555287,1364,922979,CA
E,9555288,33,1245177,CA
E,9555289,34,891390,CA
E,9555291,35,1222280,CA
E,9555292,36,950393,CA
E,9555293,37,745825,CA
E,9555303,38,not received yet,MI
E,9555308,39,not received yet,FD
E,9555311,40,not received yet,MI
E,9555314,41,not received yet,FD
E,9555316,42,000819-3,MI
E,9555322,559,37683,FL
E,9555329,1366,992310,CA
E,9555331,133,000113,OR
E,9555346,47,1239530,CA
E,9555347,48,C00386821,FD
E,9555347,49,A00597,NY
E,9555387,51,41820,TX
E,9555404,52,5620591,CO
E,9555408,54,500113-6,MI
E,9555431,55,260044471,FD
E,9555434,56,02-0698814,FD
E,9555442,57,1256032,CA
E,9555446,58,1256272,CA
E,9555447,59,1254323,CA
E,9555453,60,1234644,CA
E,9555458,61,1255848,CA
E,9555483,62,5014004,NC
E,9555508,63,500217,WI
E,9555512,64,6084,IA
E,9555525,1813,C000752,MO
E,9555530,1809,C010014,MO
E,9555544,82,37627,FL
E,9555549,84,1256357,CA
E,9555561,85,80008,MN
E,9555569,86,19991400125,CO
E,9555571,87,1271,AZ
E,9555578,88,1950,CA
E,9555613,90,80008,MN
E,9555624,91,51-0447963,FD
E,9555654,96,8100262,PA
E,9555673,99,7800065,NC
E,9555688,100,34623,TX
E,9555694,101,C000685,MO
E,9555697,103,A06968,NY
E,9555704,104,910256,VA
E,9555709,105,C00387308 ,FD
E,9555712,106,1257244,CA
E,9555716,107,743103,CA
E,9555721,109,0054148,TX
E,9555725,110,1256989,CA
E,9555727,111,99-4920,IN
E,9555732,112,A00698,NY
E,9555732,113,S0000013844Q2003,NJ
E,9555736,114,1256055,CA
E,9555737,115,1255584,CA
E,9555755,120,593698195,FD
E,9555759,121,C00383224,FD
E,9555769,122,1255848,CA
E,9555774,123,C00389031,FD
E,9555776,124,SEIULO0002,CT
E,9555790,127,2002358,PA
E,9555801,1338,910268,VA
E,9555803,129,1255848,CA
E,9555810,134,1258324,CA
